campaign_name,campaign_logo,automation,last_updated_at,code,date,original_currency,country,customer_type,ad_set,month,month_number,order_id,aov,net_orders,net_revenue,net_sales_amount,net_sales_amount_usd,net_aov_usd,orders,revenue,sales_amount,sales_amount_usd,aov_usd
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,CM11,05-01-22,AED,SAU,na,10%,Jan-22,Jan-22,19995,100+,1,2.5,203.6034,55.4399842,55.4399842,0,0,0,0,
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,HY61,30-01-22,AED,SAU,na,10%,Jan-22,Jan-22,131009,100+,3,7.5,652.5200067,177.6772827,59.2257609,0,0,0,0,
Bath and Body Works GCC,https://dl.airtable.com/.attachments/b3213fcdafa9b3b6bf76481479b10e14/5b137eed/bbw.png,data_studio,17-06-22 9:37,A092,10-01-22,USD,SAU,RETURNING,5%,Jan-22,Jan-22,3596,na,4,7.2,162.2693445,162.2693445,40.56733613,0,0,0,0,
Bath and Body Works GCC,https://dl.airtable.com/.attachments/b3213fcdafa9b3b6bf76481479b10e14/5b137eed/bbw.png,data_studio,17-06-22 9:37,A049,18-01-22,USD,SAU,RETURNING,5%,Jan-22,Jan-22,5026,na,1,1.8,76.18486818,76.18486818,76.18486818,0,0,0,0,
Bath and Body Works GCC,https://dl.airtable.com/.attachments/b3213fcdafa9b3b6bf76481479b10e14/5b137eed/bbw.png,data_studio,17-06-22 9:37,Y7696,06-01-22,USD,SAU,RETURNING,5%,Jan-22,Jan-22,2887,na,1,1.8,31.48736435,31.48736435,31.48736435,0,0,0,0,
Bath and Body Works GCC,https://dl.airtable.com/.attachments/b3213fcdafa9b3b6bf76481479b10e14/5b137eed/bbw.png,data_studio,17-06-22 9:37,Y9678,30-01-22,USD,SAU,RETURNING,5%,Jan-22,Jan-22,6935,na,1,1.8,33.90762396,33.90762396,33.90762396,0,0,0,0,
Eyewa,https://dl.airtable.com/.attachments/70d87e110420491e7c39517ef0484010/a689b6da/512x512bb.jpg,RTD,17-06-22 9:37,ZZ109,06-01-22,usd,ARE,na,,Jan-22,Jan-22,799,na,1,7,109.888,109.888,109.888,0,0,0,0,
NowNow,https://cdn.arabyads.com/boostiny//campaigns/November2021/NUI811HDz9BLKysWKyO0.png,data_studio,17-06-22 9:37,ON16,18-01-22,aed,ARE,na,5% Up to AED10 Min Spend AED20,Jan-22,Jan-22,4260,na,1,1.3,0,0,0,0,0,0,0,
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,SIV,11-01-22,USD,ARE,na,,Jan-22,Jan-22,9834,na,1,6.81,75.64032698,75.64032698,75.64032698,0,0,0,0,
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,SIV,05-01-22,USD,ARE,na,,Jan-22,Jan-22,4587,na,1,2.41,26.79836512,26.79836512,26.79836512,0,0,0,0,
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,SS10,30-01-22,USD,SAU,na,20%,Jan-22,Jan-22,26630,na,4,20.72,230.2767575,230.2767575,57.56918937,0,0,0,0,
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,UAE31,04-01-22,USD,SAU,na,,Jan-22,Jan-22,3769,na,1,14.72,163.57802,163.57802,163.57802,0,0,0,0,
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,SS1,14-01-22,USD,SAU,na,20%,Jan-22,Jan-22,12310,na,1,5.42,60.17429609,60.17429609,60.17429609,0,0,0,0,
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,HANADI,04-01-22,USD,SAU,na,,Jan-22,Jan-22,3321,na,2,17.61,195.6852098,195.6852098,97.84260491,0,0,0,0,
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,LOVE30,10-01-22,USD,SAU,na,,Jan-22,Jan-22,8751,na,2,5,55.5044505,55.5044505,27.75222525,0,0,0,0,
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,LOVE30,05-01-22,USD,SAU,na,,Jan-22,Jan-22,4340,na,1,8.18,90.86185286,90.86185286,90.86185286,0,0,0,0,
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,SI64,28-01-22,USD,SAU,na,,Jan-22,Jan-22,24648,na,1,3.17,35.2239782,35.2239782,35.2239782,0,0,0,0,
Vogacloset,https://cdn.arabyads.com/boostiny//campaigns/November2021/Fa0Xd5uiMljyfOJrQmFx.png,google_sheet,17-06-22 9:37,TG072,22-01-22,usd,na,na,upto 80% discount,Jan-22,Jan-22,2019,na,4,21.93,219.31,219.31,54.8275,0,0,0,0,
Noon Egypt,https://dl.airtable.com/.attachments/5a78c2c14964179310ba4230ee8a63b8/e37bcffe/noon_logo.jpg,data_studio,17-06-22 9:37,TG35,17-01-22,AED,EGY,na,10%,Jan-22,Jan-22,31184,0-200,1,0.7,26.72,7.27569568,7.27569568,0,0,0,0,
Noon Egypt,https://dl.airtable.com/.attachments/5a78c2c14964179310ba4230ee8a63b8/e37bcffe/noon_logo.jpg,data_studio,17-06-22 9:37,HADEER86,06-01-22,AED,EGY,na,10% MarketPlace-5% On Grocery,Jan-22,Jan-22,9513,0-200,1,0.7,34.92,9.50850648,9.50850648,0,0,0,0,
Noon Egypt,https://dl.airtable.com/.attachments/5a78c2c14964179310ba4230ee8a63b8/e37bcffe/noon_logo.jpg,data_studio,17-06-22 9:37,ESRA80,13-01-22,AED,EGY,na,10% MarketPlace-5% On Grocery,Jan-22,Jan-22,23043,0-200,1,0.7,24.19,6.58679186,6.58679186,0,0,0,0,
Noon Egypt,https://dl.airtable.com/.attachments/5a78c2c14964179310ba4230ee8a63b8/e37bcffe/noon_logo.jpg,data_studio,17-06-22 9:37,YARA88,24-01-22,AED,EGY,na,10% MarketPlace-5% On Grocery,Jan-22,Jan-22,43024,200+,1,4.2,75.53,20.56636582,20.56636582,0,0,0,0,
Noon Egypt,https://dl.airtable.com/.attachments/5a78c2c14964179310ba4230ee8a63b8/e37bcffe/noon_logo.jpg,data_studio,17-06-22 9:37,YARA88,02-01-22,AED,EGY,na,10% MarketPlace-5% On Grocery,Jan-22,Jan-22,3203,0-200,3,2.1,83.95,22.8590813,7.619693767,0,0,0,0,
Noon Egypt,https://dl.airtable.com/.attachments/5a78c2c14964179310ba4230ee8a63b8/e37bcffe/noon_logo.jpg,data_studio,17-06-22 9:37,GO91,13-01-22,AED,EGY,na,10% MarketPlace-5% On Grocery,Jan-22,Jan-22,23142,0-200,1,0.7,12.2,3.3219868,3.3219868,0,0,0,0,
Noon Egypt,https://dl.airtable.com/.attachments/5a78c2c14964179310ba4230ee8a63b8/e37bcffe/noon_logo.jpg,data_studio,17-06-22 9:37,HADEER87,08-01-22,AED,EGY,na,10% MarketPlace-5% On Grocery,Jan-22,Jan-22,13304,200+,1,4.2,82.63,22.49965322,22.49965322,0,0,0,0,
Noon Egypt,https://dl.airtable.com/.attachments/5a78c2c14964179310ba4230ee8a63b8/e37bcffe/noon_logo.jpg,data_studio,17-06-22 9:37,HADEER88,11-01-22,AED,EGY,na,10% MarketPlace-5% On Grocery,Jan-22,Jan-22,19290,0-200,4,2.8,63.23,17.21714962,4.304287405,0,0,0,0,
Noon Grocery GCC,https://cdn.arabyads.com/boostiny//campaigns/1650364196.png,data_studio,17-06-22 9:37,TODAY51,22-01-22,USD,ARE,New,,Jan-22,Jan-22,6475,na,1,2.4,0,0,0,0,0,0,0,
H&M EG,https://dl.airtable.com/.attachments/ac93bef27098a2588737e87d43906399/9e684518/709px-HM-Logo.svg.png,data_studio,17-06-22 9:37,ANU0,12-01-22,USD,EGY,RETURNING,5%,Jan-22,Jan-22,11712,na,1,4.2,103.9024282,103.9024282,103.9024282,0,0,0,0,
Noon Egypt,https://dl.airtable.com/.attachments/5a78c2c14964179310ba4230ee8a63b8/e37bcffe/noon_logo.jpg,data_studio,17-06-22 9:37,WAFAR31,25-01-22,AED,EGY,na,10% MarketPlace-5% On Grocery,Jan-22,Jan-22,45128,200+,1,4.2,55.29,15.05513526,15.05513526,0,0,0,0,
Noon Egypt,https://dl.airtable.com/.attachments/5a78c2c14964179310ba4230ee8a63b8/e37bcffe/noon_logo.jpg,data_studio,17-06-22 9:37,JOLIE80,05-01-22,AED,EGY,na,10% MarketPlace-5% On Grocery,Jan-22,Jan-22,7586,200+,1,4.2,46.29,12.60448926,12.60448926,0,0,0,0,
Noon Egypt,https://dl.airtable.com/.attachments/5a78c2c14964179310ba4230ee8a63b8/e37bcffe/noon_logo.jpg,data_studio,17-06-22 9:37,GG1,08-01-22,AED,EGY,na,10% MarketPlace-5% On Grocery,Jan-22,Jan-22,13178,0-200,1,0.7,37.66,10.25459204,10.25459204,0,0,0,0,
LC Waikiki,https://cdn.arabyads.com/boostiny//campaigns/August2021/c1rbR5AE7ApHF2hlgzrd.png,google_sheet,27-05-22 4:11,W24,13-01-22,usd,egy,na,lc waikik,Jan-22,Jan-22,1185,na,3,5.37,89.43,89.43,29.81,0,0,0,0,
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,UAE25,31-01-22,USD,ARE,na,,Jan-22,Jan-22,27649,na,1,8.5,94.40326976,94.40326976,94.40326976,0,0,0,0,
Mamas & Papas,https://dl.airtable.com/.attachments/3adfc1eee752ea0a9409f077762fc218/27a70fb2/dsfh5qk7sv0lagl5mkb5.webp,data_studio,17-06-22 9:37,M117,08-01-22,usd,SAU,na,,Jan-22,Jan-22,234,na,5,3.76,46.98392371,46.98392371,9.396784741,0,0,0,0,
Noon Egypt,https://dl.airtable.com/.attachments/5a78c2c14964179310ba4230ee8a63b8/e37bcffe/noon_logo.jpg,data_studio,17-06-22 9:37,HOOR80,05-01-22,AED,EGY,na,10% MarketPlace-5% On Grocery,Jan-22,Jan-22,7554,200+,1,4.2,44.08,12.00271952,12.00271952,0,0,0,0,
Noon Egypt,https://dl.airtable.com/.attachments/5a78c2c14964179310ba4230ee8a63b8/e37bcffe/noon_logo.jpg,data_studio,17-06-22 9:37,TG35,02-01-22,AED,EGY,na,10%,Jan-22,Jan-22,3103,0-200,1,0.7,41.87,11.40094978,11.40094978,0,0,0,0,
Noon Egypt,https://dl.airtable.com/.attachments/5a78c2c14964179310ba4230ee8a63b8/e37bcffe/noon_logo.jpg,data_studio,17-06-22 9:37,DINA80,30-01-22,AED,EGY,na,10% MarketPlace-5% On Grocery,Jan-22,Jan-22,51596,0-200,1,0.7,29.01,7.89924894,7.89924894,0,0,0,0,
Noon Egypt,https://dl.airtable.com/.attachments/5a78c2c14964179310ba4230ee8a63b8/e37bcffe/noon_logo.jpg,data_studio,17-06-22 9:37,TG23,27-01-22,AED,EGY,na,10%,Jan-22,Jan-22,48561,200+,1,4.2,177.42,48.31040148,48.31040148,0,0,0,0,
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,HY72,27-01-22,AED,ARE,na,10%,Jan-22,Jan-22,116577,100+,1,2.5,148,40.299512,40.299512,0,0,0,0,
Bath and Body Works EG,https://cdn.arabyads.com/boostiny//campaigns/November2020/zGBCYmoF5M6C1YfLAmMI.png,data_studio,17-06-22 9:37,A023,31-01-22,USD,EGY,NEW,5%,Jan-22,Jan-22,1562,na,1,1.8,44.643,44.643,44.643,0,0,0,0,
Namshi,https://dl.airtable.com/.attachments/230027b31560f0bceb7ab3c35104ef08/b1bf0753/1200x630wa.png,data_studio,17-06-22 9:37,FUN189,26-01-22,USD,ARE,Returning,,Jan-22,Jan-22,6456,na,1,2.5,73.64737917,73.64737917,73.64737917,0,0,0,0,
Namshi,https://dl.airtable.com/.attachments/230027b31560f0bceb7ab3c35104ef08/b1bf0753/1200x630wa.png,data_studio,17-06-22 9:37,FUN189,19-01-22,USD,SAU,Returning,,Jan-22,Jan-22,4761,na,5,12.5,205.5275698,205.5275698,41.10551396,0,0,0,0,
Bath and Body Works EG,https://cdn.arabyads.com/boostiny//campaigns/November2020/zGBCYmoF5M6C1YfLAmMI.png,data_studio,17-06-22 9:37,A023,29-01-22,USD,EGY,NEW,5%,Jan-22,Jan-22,1418,na,1,1.8,41.6406,41.6406,41.6406,0,0,0,0,
Namshi,https://dl.airtable.com/.attachments/230027b31560f0bceb7ab3c35104ef08/b1bf0753/1200x630wa.png,data_studio,17-06-22 9:37,YY32,23-01-22,USD,SAU,Returning,,Jan-22,Jan-22,5912,na,1,2.5,229.9741321,229.9741321,229.9741321,0,0,0,0,
CitrussTV,https://cdn.arabyads.com/boostiny//campaigns/July2021/h3dZGD18KjWIN7xMJL49.jpeg,RTD,17-06-22 9:37,C18,24-01-22,USD,SAU,NA,10% up to 50SAR,Jan-22,Jan-22,7067146473-,,0,0,0,0,,1,18.48,308.073,308.073,308.073
CitrussTV,https://cdn.arabyads.com/boostiny//campaigns/July2021/h3dZGD18KjWIN7xMJL49.jpeg,RTD,17-06-22 9:37,C18,30-01-22,USD,SAU,NA,10% up to 50SAR,Jan-22,Jan-22,7067147922-,,0,0,0,0,,1,5.23,87.146,87.146,87.146
Brantu Egypt,https://cdn.arabyads.com/boostiny//campaigns/March2021/Gk3JL9DaLpBWqp3jLgux.jpg,RTD,17-06-22 9:37,BR59,26-01-22,EGP,EG,NA,Brantu,Jan-22,Jan-22,7779749472-,,0,0,0,0,,1,4,398.4,25.0992,25.0992
Brantu Egypt,https://cdn.arabyads.com/boostiny//campaigns/March2021/Gk3JL9DaLpBWqp3jLgux.jpg,RTD,17-06-22 9:37,BR59,27-01-22,EGP,EG,NA,Brantu,Jan-22,Jan-22,3182137489-,,0,0,0,0,,1,4,560,35.28,35.28
